time,BTC,KXBTC-24DEC0517-T87250,KXBTC-24DEC0517-B87500,KXBTC-24DEC0517-B88000,KXBTC-24DEC0517-B88500,KXBTC-24DEC0517-B89000,KXBTC-24DEC0517-B89500,KXBTC-24DEC0517-B90000,KXBTC-24DEC0517-B90500,KXBTC-24DEC0517-B91000,KXBTC-24DEC0517-B91500,KXBTC-24DEC0517-B92000,KXBTC-24DEC0517-B92500,KXBTC-24DEC0517-B93000,KXBTC-24DEC0517-B93500,KXBTC-24DEC0517-B94000,KXBTC-24DEC0517-B94500,KXBTC-24DEC0517-B95000,KXBTC-24DEC0517-B95500,KXBTC-24DEC0517-B96000,KXBTC-24DEC0517-B96500,KXBTC-24DEC0517-B97000,KXBTC-24DEC0517-B97500,KXBTC-24DEC0517-B98000,KXBTC-24DEC0517-B98500,KXBTC-24DEC0517-B99000,KXBTC-24DEC0517-B99500,KXBTC-24DEC0517-B100000,KXBTC-24DEC0517-B100500,KXBTC-24DEC0517-B101000,KXBTC-24DEC0517-B101500,KXBTC-24DEC0517-B102000,KXBTC-24DEC0517-B102500,KXBTC-24DEC0517-B103000,KXBTC-24DEC0517-B103500,KXBTC-24DEC0517-B104000,KXBTC-24DEC0517-B104500,KXBTC-24DEC0517-B105000,KXBTC-24DEC0517-B105500,KXBTC-24DEC0517-B106000,KXBTC-24DEC0517-T106249.99,KXBTCD-24DEC0517-T86749.99,KXBTCD-24DEC0517-T87249.99,KXBTCD-24DEC0517-T87749.99,KXBTCD-24DEC0517-T88249.99,KXBTCD-24DEC0517-T88749.99,KXBTCD-24DEC0517-T89249.99,KXBTCD-24DEC0517-T89749.99,KXBTCD-24DEC0517-T90249.99,KXBTCD-24DEC0517-T90749.99,KXBTCD-24DEC0517-T91249.99,KXBTCD-24DEC0517-T91749.99,KXBTCD-24DEC0517-T92249.99,KXBTCD-24DEC0517-T92749.99,KXBTCD-24DEC0517-T93249.99,KXBTCD-24DEC0517-T93749.99,KXBTCD-24DEC0517-T94249.99,KXBTCD-24DEC0517-T94749.99,KXBTCD-24DEC0517-T95249.99,KXBTCD-24DEC0517-T95749.99,KXBTCD-24DEC0517-T96249.99,KXBTCD-24DEC0517-T96749.99,KXBTCD-24DEC0517-T97249.99,KXBTCD-24DEC0517-T97749.99,KXBTCD-24DEC0517-T98249.99,KXBTCD-24DEC0517-T98749.99,KXBTCD-24DEC0517-T99249.99,KXBTCD-24DEC0517-T99749.99,KXBTCD-24DEC0517-T100249.99,KXBTCD-24DEC0517-T100749.99,KXBTCD-24DEC0517-T101249.99,KXBTCD-24DEC0517-T101749.99,KXBTCD-24DEC0517-T102249.99,KXBTCD-24DEC0517-T102749.99,KXBTCD-24DEC0517-T103249.99,KXBTCD-24DEC0517-T103749.99,KXBTCD-24DEC0517-T104249.99,KXBTCD-24DEC0517-T104749.99,KXBTCD-24DEC0517-T105249.99,KXBTCD-24DEC0517-T105749.99,KXBTCD-24DEC0517-T106249.99
2024-12-05 14:10:00.765034,100742.34,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,4,5,10,15,20,19,16,10,7,5,3,3,4,1,2,3,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,92,84,72,54,36,22,13,7,4,4,4,4,3,3,3
2024-12-05 14:20:00.189817,100732.34,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,3,6,10,15,20,18,15,11,7,4,3,3,4,2,2,3,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,91,83,71,51,33,21,12,6,4,4,4,4,3,3,3
2024-12-05 14:30:00.672884,100621.59,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,4,5,12,16,21,20,14,10,6,4,3,3,4,1,2,3,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,97,91,81,67,47,31,18,8,4,4,4,4,4,3,3,2
2024-12-05 14:40:00.767108,100394.2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,5,6,13,19,22,18,12,8,4,3,3,2,4,1,1,3,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,95,89,78,59,40,23,12,6,4,3,3,3,3,3,3,2
2024-12-05 14:50:00.373399,99516.15,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,4,5,11,17,22,19,13,7,5,3,1,1,4,4,6,1,2,3,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,89,82,65,45,26,14,7,5,3,16,3,3,3,3,3,3,2
2024-12-05 15:00:00.590537,99037.68,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,9,5,8,11,14,17,18,13,9,8,17,16,15,1,4,4,6,1,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,96,92,84,73,59,45,35,27,17,8,4,14,16,3,3,3,3,3,3,2
2024-12-05 15:10:00.633378,99201.21,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,5,7,8,13,17,22,14,10,8,5,3,15,1,4,4,2,1,1,3,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,95,90,85,66,50,32,18,8,6,4,11,16,3,3,3,3,3,3,2
2024-12-05 15:20:00.477272,98255.96,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,3,5,10,15,18,18,17,10,6,4,3,3,3,4,1,4,3,2,1,1,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,95,91,80,67,51,35,21,13,6,6,4,3,4,11,3,3,3,3,3,3,2
2024-12-05 15:30:00.820196,98296.79,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,6,10,15,17,17,16,10,8,8,3,2,3,1,1,4,4,2,1,1,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,92,83,71,55,38,26,13,7,6,4,16,10,17,3,3,3,3,16,16,16
2024-12-05 15:40:00.889253,98834.34,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,3,5,9,16,21,21,16,11,6,4,3,3,1,1,4,4,2,1,1,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,96,97,92,84,72,53,35,20,10,5,4,4,4,17,4,3,4,4,4,4,4
2024-12-05 15:50:00.146597,99123.77,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,4,3,7,12,19,23,20,16,8,6,3,4,1,1,4,5,2,1,1,3,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,93,83,66,45,27,14,6,5,5,3,17,4,3,5,5,5,5,5
2024-12-05 16:00:00.383431,99127.75,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,7,3,4,11,19,25,22,15,8,5,15,2,1,1,4,5,2,1,1,3,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,96,85,67,45,25,12,5,5,4,3,8,4,49,4,4,4,4,4
