Time,Fees,Profit,Shares
1731614014.589236,3,100,50
1731614017.009162,7,278,139
1731614019.5395021,7,139,139
1731614022.0679958,3,100,50
1731614024.619529,3,100,50
1731614027.102174,3,150,50
1731614029.613983,3,100,50
1731614032.135303,6,200,100
1731614034.661845,6,200,100
1731614037.193797,6,100,100
1731614039.716125,3,50,50
1731614042.241606,3,100,50
1731614044.751285,3,50,50
1731614047.280241,6,200,100
1731614063.486573,6,100,100
1731614065.9879198,6,300,100
1731614068.502338,18,800,400
1731614071.011214,18,400,400
1731614073.515705,18,800,400
1731614076.060553,18,800,400
1731614078.515096,18,800,400
1731614080.996489,18,800,400
1731614083.4833121,6,100,100
1731614085.962889,6,200,100
1731614088.492428,6,200,100
1731614091.068481,6,300,100
1731614093.561847,6,300,100
1731614095.90753,6,300,100
1731614098.399609,6,300,100
1731614100.937343,6,300,100
1731614103.488008,6,300,100
1731614106.002177,6,300,100
1731614108.491616,46,3000,1000
1731614110.966135,46,3000,1000
1731614113.468825,24,2500,500
1731614116.009006,24,2000,500
1731614118.49848,6,300,100
1731614121.083649,6,400,100
1731614123.444444,6,400,100
1731614125.810323,6,500,100
1731614128.293231,6,500,100
1731614130.664605,6,400,100
1731614133.180532,6,400,100
1731614135.696052,6,400,100
1731614138.163624,6,400,100
1731614140.676692,24,3500,500
1731614144.109063,3,1,1
1731614144.1090949,18,3200,400
1731614146.426253,10,1000,200
1731614149.72694,3,1,1
1731614149.726963,4,122,61
1731614153.193362,3,1,1
1731614153.193374,4,244,61
1731614155.7757492,23,2500,500
1731614158.308368,23,2000,500
1731614160.858814,57,5332,1333
1731614163.4170492,6,400,100
1731614165.907069,35,3200,800
1731614168.3884192,35,2400,800
1731614170.868371,35,2400,800
1731614173.341367,35,2400,800
1731614175.675186,35,2400,800
1731614178.161501,6,300,100
1731614180.481057,15,900,300
1731614182.9640498,15,1332,333
1731614185.46484,35,3200,800
1731614187.998423,35,2400,800
1731614190.533482,35,2400,800
1731614193.015599,35,2400,800
1731614195.5523589,35,3200,800
1731614198.040437,39,3600,900
1731614200.528887,15,1665,333
1731614203.016717,30,2800,700
1731614205.50458,30,3500,700
1731614208.00246,30,2800,700
1731614210.526221,30,3500,700
1731614213.037811,30,3500,700
1731614215.569165,30,3500,700
1731614218.1314828,30,2800,700
1731614220.6867971,30,2800,700
1731614223.0472052,30,2800,700
1731614225.5669749,30,2800,700
1731614228.0474539,30,3500,700
1731614230.5302038,30,3500,700
1731614233.041816,30,3500,700
1731614235.587116,36,900,900
1731614238.0837061,4,305,61
1731614243.615359,24,1000,500
1731614246.1242602,36,1600,800
1731614248.6233249,33,1400,700
1731614251.161977,15,300,300
1731614253.676131,4,122,61
1731614256.1454232,27,1122,561
1731614258.6274922,4,183,61
1731614261.122241,31,1983,661
1731614263.634805,4,122,61
1731614266.1399958,4,244,61
1731614268.705496,4,244,61
1731614271.205663,10,600,200
1731614273.550411,28,1200,600
1731614276.091509,29,1800,600
1731614278.583404,13,750,250
1731614281.066508,4,183,61
1731614283.5493639,4,305,61
1731614286.010355,4,305,61
1731614288.5109491,4,305,61
1731614290.997351,4,366,61
1731614293.485346,4,305,61
1731614295.955144,4,305,61
1731614298.431813,4,305,61
1731614300.935925,4,305,61
1731614303.460444,4,305,61
1731614305.952692,4,305,61
1731614308.446847,4,305,61
1731614310.992779,4,305,61
1731614313.5097,4,366,61
1731614316.004838,4,366,61
1731614318.498307,4,366,61
1731614320.985347,4,366,61
1731614323.522021,4,366,61
1731614326.053482,4,366,61
1731614329.944424,69,6000,1500
1731614332.2751842,24,1500,500
1731614334.815593,24,1500,500
