Time,Fees,Profit,Shares
1731621567.4373791,,,
1731621568.4493608,,,
1731621569.504116,,,
1731621570.934303,,,
1731621572.322432,,,
1731621573.686521,,,
1731621575.0967748,,,
1731621576.445961,,,
1731621577.7887528,,,
1731621578.8194911,,,
1731621579.8412669,,,
1731621580.850168,,,
1731621581.855114,,,
1731621582.867799,,,
1731621583.900395,,,
1731621584.937376,,,
1731621585.828001,,,
1731621586.8529239,,,
1731621587.9053178,,,
1731621588.9594722,,,
1731621590.024508,,,
1731621591.04033,,,
1731621592.4536178,,,
1731621593.711623,,,
1731621595.027655,,,
1731621596.3717408,,,
1731621597.7352152,,,
1731621599.137511,,,
1731621600.498977,,,
1731621601.7583098,,,
1731621603.1864178,,,
1731621604.24049,,,
1731621605.260036,,,
1731621606.2952309,,,
1731621607.322679,,,
1731621608.348031,,,
1731621609.4435241,,,
1731621611.717519,,,
1731621612.5768828,,,
1731621613.670511,,,
1731621614.7787578,,,
1731621615.828298,,,
1731621616.88247,,,
1731621617.928162,,,
1731621619.011759,,,
1731621620.041518,,,
1731621621.080759,,,
1731621621.9922729,,,
1731621623.055341,,,
1731621624.1358569,,,
1731621625.038622,,,
1731621626.111889,,,
1731621627.167742,,,
1731621628.0805151,,,
1731621629.182855,,,
1731621630.182055,,,
1731621631.2106721,,,
1731621632.32997,,,
1731621633.393147,,,
1731621634.44843,,,
1731621635.4674869,,,
1731621636.364813,,,
1731621637.463441,,,
1731621638.505323,,,
1731621639.579584,,,
1731621640.613249,,,
1731621641.649109,,,
1731621642.723358,,,
1731621643.752994,,,
1731621644.788182,,,
1731621645.838567,,,
1731621646.894927,,,
1731621647.959456,,,
1731621649.016247,,,
1731621650.1218529,,,
1731621651.204787,,,
1731621652.274844,,,
1731621653.295744,,,
1731621654.378956,,,
1731621655.458102,,,
1731621656.499671,,,
1731621657.5534878,,,
1731621658.4399822,,,
1731621659.472502,,,
1731621660.506291,,,
1731621661.5321321,,,
1731621662.58383,,,
1731621663.62483,,,
1731621664.490883,,,
1731621665.547034,,,
1731621666.576425,,,
1731621667.674322,,,
1731621668.73163,,,
1731621669.8024719,,,
1731621670.8509738,,,
1731621671.7887402,,,
1731621672.726544,,,
1731621673.791157,,,
1731621674.885726,,,
1731621675.80915,,,
1731621676.87308,,,
1731621677.964858,,,
1731621678.8948941,,,
1731621679.8191621,,,
1731621680.867548,,,
1731621681.935097,,,
1731621683.035721,,,
1731621684.15358,,,
1731621685.2229881,,,
1731621686.285037,,,
1731621687.376889,,,
1731621688.258463,,,
1731621689.2193868,,,
1731621690.24111,,,
1731621691.300501,,,
1731621692.350935,,,
1731621693.2595048,,,
1731621694.319885,,,
1731621695.370369,,,
1731621696.4442828,,,
1731621697.496876,,,
1731621698.539824,,,
1731621699.613895,,,
1731621700.631867,,,
1731621701.627674,,,
1731621702.638477,,,
1731621703.66927,,,
1731621704.6972601,,,
1731621705.714902,,,
1731621706.77476,,,
1731621707.827631,,,
1731621708.88774,,,
1731621709.908832,,,
1731621710.952501,,,
1731621711.829081,,,
1731621712.890143,,,
1731621713.930329,,,
1731621714.973929,,,
1731621716.023409,,,
1731621716.944895,,,
1731621718.080811,,,
1731621719.123281,,,
1731621720.177325,,,
1731621721.2734149,,,
1731621722.199548,,,
1731621723.246915,,,
1731621724.2979069,,,
1731621725.2329228,,,
1731621726.290963,,,
1731621727.3230238,,,
1731621728.3614678,,,
1731621729.45712,,,
1731621730.498902,,,
1731621731.5247412,,,
1731621732.550598,,,
1731621733.575635,,,
1731621734.6761138,,,
1731621735.72839,,,
1731621736.7554739,,,
1731621737.8288808,,,
1731621738.945649,,,
1731621740.029998,,,
1731621741.0956979,,,
1731621742.1897368,,,
1731621743.185302,,,
1731621744.261884,,,
1731621745.363793,,,
1731621746.430549,,,
1731621747.34834,,,
1731621748.402878,,,
1731621749.435502,,,
1731621750.344609,,,
1731621751.4063559,,,
1731621752.302343,,,
1731621753.338387,,,
1731621754.269809,,,
1731621755.3120298,,,
1731621756.3367329,,,
1731621757.413687,,,
1731621758.465336,,,
1731621759.473066,,,
1731621760.500971,,,
1731621761.537584,,,
1731621762.573909,,,
1731621763.6159801,,,
1731621764.66,,,
1731621765.706677,,,
1731621766.717838,,,
1731621767.7478971,,,
1731621768.843467,,,
1731621769.7384388,,,
1731621770.81395,,,
1731621771.758568,,,
1731621772.807457,,,
1731621773.874475,,,
1731621774.911564,,,
1731621775.99358,,,
1731621777.0245178,,,
1731621778.053608,,,
1731621779.114759,,,
1731621780.147464,,,
1731621781.1855261,,,
1731621782.214899,,,
1731621783.25931,,,
1731621784.292576,,,
1731621785.316282,,,
1731621786.220602,,,
1731621787.272929,,,
1731621788.339828,,,
1731621789.36819,,,
1731621790.379533,,,
1731621791.402709,,,
1731621792.458343,,,
1731621793.326307,,,
1731621794.369739,,,
1731621795.382524,,,
1731621796.433729,,,
1731621797.4766562,,,
1731621798.5174458,,,
1731621799.595341,,,
1731621800.477651,,,
1731621801.537132,,,
1731621802.610364,,,
1731621803.651744,,,
1731621804.699116,,,
1731621805.7562811,,,
1731621806.843137,,,
1731621807.72632,,,
1731621808.768587,,,
1731621809.850358,,,
1731621810.9077199,,,
1731621811.975196,,,
1731621813.005149,,,
1731621814.08302,,,
1731621815.116273,,,
1731621816.162438,,,
1731621817.216702,,,
1731621818.283665,,,
1731621819.3213172,,,
1731621820.329752,,,
1731621821.385545,,,
1731621822.260685,,,
1731621823.28636,,,
1731621824.356626,,,
1731621825.405086,,,
1731621826.459318,,,
1731621827.504871,,,
1731621828.39171,,,
1731621829.284502,,,
1731621830.313791,,,
1731621831.339658,,,
1731621832.3694148,,,
1731621833.402306,,,
1731621834.326901,,,
1731621835.3460832,,,
1731621836.417851,,,
1731621837.497271,,,
1731621838.3783958,,,
1731621839.424232,,,
1731621840.5022762,,,
1731621841.536085,,,
1731621842.4878561,,,
1731621843.449453,,,
1731621844.508297,,,
1731621845.530596,,,
1731621846.617738,,,
1731621847.549885,,,
1731621848.576583,,,
1731621849.6440809,,,
1731621850.5177379,,,
1731621851.551143,,,
1731621852.579082,,,
1731621853.622369,,,
1731621854.653253,,,
1731621855.691863,,,
1731621856.7821262,,,
1731621857.729723,,,
1731621858.781418,,,
1731621859.871725,,,
1731621860.903444,,,
1731621861.9381099,,,
1731621862.982365,,,
1731621864.023628,,,
1731621865.096938,,,
1731621866.124865,,,
1731621867.2081761,,,
1731621868.284031,,,
1731621869.3478389,,,
1731621870.378911,,,
1731621871.4734972,,,
1731621872.349824,,,
1731621873.446579,,,
1731621874.530287,,,
1731621875.598856,,,
1731621876.636609,,,
1731621877.682224,,,
1731621878.71747,,,
1731621879.739578,,,
1731621880.770779,,,
1731621881.814461,,,
1731621882.879748,,,
1731621883.915924,,,
1731621884.9408698,,,
1731621886.0224562,,,
1731621887.064609,,,
1731621887.998487,,,
1731621889.062589,,,
1731621890.075834,,,
1731621891.1147552,,,
1731621892.184157,,,
1731621893.262367,,,
1731621894.330082,,,
1731621895.383608,,,
1731621896.339419,,,
1731621897.456874,,,
1731621898.5309708,,,
1731621899.709867,,,
1731621900.448972,,,
1731621901.445556,,,
1731621902.549602,,,
1731621903.615097,,,
1731621904.664791,,,
1731621905.729506,,,
1731621906.758844,,,
1731621907.697705,,,
1731621908.7477398,,,
1731621909.7890198,,,
1731621910.816349,,,
1731621911.854155,,,
1731621912.92651,,,
1731621913.979851,,,
1731621914.878486,,,
1731621915.888569,,,
1731621916.805315,,,
1731621917.876572,,,
1731621918.946831,,,
1731621920.0325902,,,
1731621921.079123,,,
1731621921.997963,,,
1731621923.0493062,,,
1731621924.1300359,,,
1731621925.1727428,,,
1731621926.2327008,,,
1731621927.318579,,,
1731621928.336232,,,
1731621929.3889458,,,
1731621930.405542,,,
1731621931.468708,,,
